,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
49,50,特願2016-236383,特開2018-092453,"2016/12/06
2018/06/14
-",学習装置、学習方法およびプログラム,日本電気株式会社 他,"G06N99/00,153",2016-12-06,1,12,2016,G06N,G06N99/00,['特定の計算モデルに基づくコンピュータ・システム［７］'],['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
50,51,特願2018-513022,特許6343412,"2017/03/30
2018/06/13
2018/05/25",地図連動センサ情報表示システム、地図連動センサ情報表示方法およびプログラム,株式会社オプティム,"G01D7/06 
G01D21/02",2017-03-30,1,3,2017,G01D,"G01D7/06
G01D21/02",['特に特定の変量に適用されない測定；単一のほかのサブクラスに包含されない２つ以上の変量を測定する装置；料金計量装置；特に特定の変量に適用されない伝達または変換装置；他に分類されない測定または試験'],"['共通スクリーンへの光学的指示']
['単一の他のサブクラスに包含されない手段による２以上の変量の測定']"
51,52,特願2016-231678,特開2018-086711,"2016/11/29
2018/06/07
-",レーザ加工ロボットの加工順序を学習する機械学習装置、ロボットシステムおよび機械学習方法,ファナック株式会社,"B25J13/00@Z 
G05B19/4155@V 
B23K26/00@P 
他",2016-11-29,1,11,2016,"他
B23K
G05B
B25J","B25J13/00
G05B19/41
B23K26/00
他","[]
['ハンダ付またはハンダ離脱；溶接；ハンダ付または溶接によるクラッドまたは被せ金；局部加熱による切断，例．火炎切断：レーザービームによる加工（金属の押出しによる金属被覆製品の製造Ｂ２１Ｃ２３／２２；鋳造によるライニングまたは被覆の製作Ｂ２２Ｄ１９／０８；浸漬による鋳造Ｂ２２Ｄ２３／０４；金属粉末焼結による被合層の製造Ｂ２２Ｆ７／００；倣いまたは制御のための工作機械の装置Ｂ２３Ｑ；他に分類されない金属への被覆または材料への金属による被覆Ｃ２３Ｃ；バーナーＦ２３Ｄ）']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['マニプレータの制御（プログラム制御Ｂ２５Ｊ９／１６）［４］']
['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['レーザービームによる加工，例．溶接，切断または穴あけ［２，３，２０１４．０１］']
[]"
52,53,特願2016-229250,特開2018-085053,"2016/11/25
2018/05/31
-",エージェント対話システム、エージェント装置、サーバ装置、エージェント対話方法、及びプログラム,エヌ・ティ・ティ・コムウェア株式会社,"G06F13/00,650@B 
G06F3/16,650 
G06F3/16,690 
他",2016-11-25,1,11,2016,"他
G06F","G06F13/00
G06F3/16
G06F3/16
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['メモリ，入力／出力装置または中央処理ユニットの間の情報または他の信号の相互接続または転送（特定の入力／出力装置のためのインタフェース回路Ｇ０６Ｆ３／００，マルチプロセッサシステムＧ０６Ｆ１５／１６）［４］']
['音声入力；音声出力（音声処理Ｇ１０Ｌ）']
['音声入力；音声出力（音声処理Ｇ１０Ｌ）']
[]"
53,54,特願2016-225250,特開2018-081631,"2016/11/18
2018/05/24
-",遠隔遊び支援システム、心的状態・性格推定システム、遊び推定システム、方法およびプログラム,国立大学法人電気通信大学,"G06N5/04 
G06F17/30,220@Z 
G06F17/30,340@A 
他",2016-11-18,1,11,2016,"他
G06F
G06N","G06N5/04
G06F17/30
G06F17/30
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['推論方法または装置［７］']
['情報検索；そのためのデータベース構造［６］']
['情報検索；そのためのデータベース構造［６］']
[]"
54,55,特願2017-061711,特許6327541,"2017/03/27
2018/05/23
2018/04/27",モータ制御システム、モータ制御装置、モータ制御方法、及び状態推定装置,株式会社安川電機,H02P29/024,2017-03-27,1,3,2017,H02P,H02P29/02,['電動機，発電機，回転変換機の制御または調整；変圧器，リアクトルまたはチョークコイルの制御［４］'],['電源を自動遮断することなく，過負荷に対する保護をするもの（ステッピングモータの異常の保護Ｈ０２Ｐ８／３６）［８，２０１６．０１］']
55,56,特願2016-218523,特開2018-078431,"2016/11/09
2018/05/17
-",オブジェクト追跡装置及びそのプログラム,日本放送協会,"H04N5/225@Z 
H04N5/91@L 
H04N5/232@Z 
他",2016-11-09,1,11,2016,"他
H04N","H04N5/225
H04N5/91@
H04N5/232
他","[]
['画像通信，例．テレビジョン［４］']","['テレビジョンカメラ［４］']
[]
['テレビジョンカメラを調整するための装置，例．遠隔制御（Ｈ０４Ｎ５／２３５が優先）［４］']
[]"
56,57,特願2016-220749,特開2018-077779,"2016/11/11
2018/05/17
2018/07/27",センサインタフェース装置、測定情報通信システム、測定情報通信方法、及び測定情報通信プログラム,ファナック株式会社,"G08C15/00@E 
G08C15/06@H 
G06N99/00,150",2016-11-11,1,11,2016,"G06N
G08C","G08C15/00
G08C15/06
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['測定値，制御信号または類似信号のための伝送方式（流体圧力伝送方式Ｆ１５Ｂ；感知要素の出力を異なる変量に変換する機械的手段Ｇ０１Ｄ５／００；機械的制御システムＧ０５Ｇ）［４］']","['共通伝送線路で複数の信号を伝送するために多重伝送の使用によって特徴づけられた装置']
['連続的に，すなわち時分割を用いるもの']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
57,58,特願2017-167989,特開2018-075357,"2017/08/31
2018/05/17
-",着座姿勢判定装置、椅子、着座姿勢判定方法、プログラム,株式会社岡村製作所 他,"A47C7/62@Z 
G01B5/00@U 
G01B5/24 
他",2017-08-31,1,8,2017,"他
A47C
G01B","A47C7/62@
G01B5/00@
G01B5/24
他","[]
['いす（車両に特に適する座席Ｂ６０Ｎ２／００）；ソファー；寝台（詰め物一般Ｂ６８Ｇ）']
['長さ，厚さまたは同種の直線寸法の測定；角度の測定；面積の測定；表面または輪郭の不規則性の測定']","[]
[]
['角度またはテーパ測定用；軸の心合せ試験用']
[]"
58,59,特願2016-216529,特開2018-073363,"2016/11/04
2018/05/10
-",車両稼働データ収集装置、車両稼働データ収集システムおよび車両稼働データ収集方法,株式会社日立製作所,"G08G1/00@D 
G01M17/00@H 
G07C5/00@Z 
他",2016-11-04,1,11,2016,"他
G08G
G01M
G07C","G08G1/00@
G01M17/00
G07C5/00@
他","[]
['交通制御システム（鉄道交通の案内，保安Ｂ６１Ｌ；特に交通制御に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９１，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／８８；特に衝突防止目的に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９３，Ｇ０１Ｓ１５／９３，Ｇ０１Ｓ１７／９３；陸上，水中，空中または宇宙用運送手段について，交通環境に特化しない位置，進路，高度または姿勢の制御Ｇ０５Ｄ１／００）［２］']
['機械または構造物の静的または動的つり合い試験；他に分類されない構造物または装置の試験']
['時間または出席者の登録；機械の稼働の登録または表示；乱数の発生；投票またはくじ引き装置；他の箇所に分類されないチェックのための配列，方式または装置（個人の識別Ａ６１Ｂ５／１１７；測定のための指示または記録装置一般，類似の装置で，核装置への入力が被測定変量でないもの，例．手動操作のものＧ０１Ｄ；時計の機構Ｇ０４Ｂ，Ｇ０４Ｃ；時間間隔の測定Ｇ０４Ｆ；計数機構それ自体Ｇ０６Ｍ）']","[]
['車両の試験（Ｇ０１Ｍ１５／００が優先；流体気密性試験Ｇ０１Ｍ３／００；ボデーまたはシャーシーの弾性特性の試験，例．ねじり試験Ｇ０１Ｍ５／００；車両の前照灯装置の心合わせ試験Ｇ０１Ｍ１１／０６）']
[]
[]"
59,60,特願2016-207696,特開2018-072876,"2016/10/24
2018/05/10
-",感情推定システム、感情推定モデル生成システム,富士ゼロックス株式会社,G06N5/04,2016-10-24,1,10,2016,G06N,G06N5/04,['特定の計算モデルに基づくコンピュータ・システム［７］'],['推論方法または装置［７］']
60,61,特願2016-210313,特開2018-068548,"2016/10/27
2018/05/10
-",対話制御システム,富士ゼロックス株式会社,"A61B5/16 
A61B5/00@G 
G06N99/00,150",2016-10-27,1,10,2016,"G06N
A61B","A61B5/16
A61B5/00@
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
61,62,特願2016-205481,特開2018-065221,"2016/10/19
2018/04/26
2018/11/09",機械学習により外力の検出精度を向上させた人協調ロボットシステム,ファナック株式会社,B25J13/08@Z,2016-10-19,1,10,2016,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
62,63,特願2016-205233,特開2018-065171,"2016/10/19
2018/04/26
-",配管内移動ロボットによる施工システムおよび施工方法,三菱日立パワーシステムズ株式会社,"B23K26/03 
E02B1/00,301@Z 
G01B11/24@B 
他",2016-10-19,1,10,2016,"他
B23K
E02B
G01B","B23K26/03
E02B1/00
G01B11/24
他","[]
['ハンダ付またはハンダ離脱；溶接；ハンダ付または溶接によるクラッドまたは被せ金；局部加熱による切断，例．火炎切断：レーザービームによる加工（金属の押出しによる金属被覆製品の製造Ｂ２１Ｃ２３／２２；鋳造によるライニングまたは被覆の製作Ｂ２２Ｄ１９／０８；浸漬による鋳造Ｂ２２Ｄ２３／０４；金属粉末焼結による被合層の製造Ｂ２２Ｆ７／００；倣いまたは制御のための工作機械の装置Ｂ２３Ｑ；他に分類されない金属への被覆または材料への金属による被覆Ｃ２３Ｃ；バーナーＦ２３Ｄ）']
['水工（船舶のリフトＥ０２Ｃ；しゅんせつＥ０２Ｆ）']
['長さ，厚さまたは同種の直線寸法の測定；角度の測定；面積の測定；表面または輪郭の不規則性の測定']","['加工物の観察，例．加工物の監視［７］']
['水工一般についての設備または装置あるいは方法']
['輪郭または曲率の測定用']
[]"
63,64,特願2016-198717,特開2018-058178,"2016/10/07
2018/04/12
-",機械学習部を備えた作業補助システム,ファナック株式会社,"B25J13/08@A 
G05B19/418@Z 
B25J13/00@Z",2016-10-07,1,10,2016,"G05B
B25J","B25J13/08
G05B19/41
B25J13/00","['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['センサー手段，例．視覚または触覚装置，によるもの［４］']
['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['マニプレータの制御（プログラム制御Ｂ２５Ｊ９／１６）［４］']"
64,65,特願2016-188857,特開2018-051664,"2016/09/27
2018/04/05
-",最適な物品把持経路を学習する機械学習装置、及び機械学習方法,ファナック株式会社,"B25J13/08@Z 
B25J13/00@A",2016-09-27,1,9,2016,B25J,"B25J13/08
B25J13/00",['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],"['センサー手段，例．視覚または触覚装置，によるもの［４］']
['マニプレータの制御（プログラム制御Ｂ２５Ｊ９／１６）［４］']"
65,66,特願2016-185776,特開2018-048967,"2016/09/23
2018/03/29
-",測位用地磁気マップの作成方法、位置測定方法、外的要因ノイズ測定方法及び測位用地磁気マップの作成システム,日本電気通信システム株式会社,"G01C21/28 
G01C21/08",2016-09-23,1,9,2016,G01C,"G01C21/28
G01C21/08",['距離，水準または方位の測定；測量；航行；ジャイロ計器；写真計量または映像計量（液位の測定Ｇ０１Ｆ；無線による航行，電波の伝播効果，例．ドプラ効果，伝播時間，の使用による距離または速度の決定，その他の波を用いる類似の装置Ｇ０１Ｓ）'],"['航行計器からのデータを修正するもの［７］']
['地球磁場の使用を含むもの']"
66,67,特願2016-180742,特開2018-042812,"2016/09/15
2018/03/22
-",健康管理システム及びそのプログラム,東芝情報システム株式会社,"A61B5/00@D 
A61B5/00,101@A 
A61B5/00,102@C",2016-09-15,1,9,2016,A61B,"A61B5/00@
A61B5/00
A61B5/00",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"[]
['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']"
67,68,特願2016-180741,特開2018-042811,"2016/09/15
2018/03/22
-",健康管理システム及びそのプログラム,東芝情報システム株式会社,"A61B5/00,101@A 
A61B5/00@D 
A61B5/00,102@C 
他",2016-09-15,1,9,2016,"他
A61B","A61B5/00
A61B5/00@
A61B5/00
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
[]
['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
[]"
68,69,特願2017-170947,特開2018-041460,"2017/09/06
2018/03/15
-",感情状態検出に基づいて電子デバイス上で推奨を提供するためのシステム及び方法,ソニー株式会社,"G06F3/01,510 
G06F13/00,510@G 
G06F13/00,540@A 
他",2017-09-06,1,9,2017,"他
G06F","G06F3/01
G06F13/00
G06F13/00
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']","['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
['メモリ，入力／出力装置または中央処理ユニットの間の情報または他の信号の相互接続または転送（特定の入力／出力装置のためのインタフェース回路Ｇ０６Ｆ３／００，マルチプロセッサシステムＧ０６Ｆ１５／１６）［４］']
['メモリ，入力／出力装置または中央処理ユニットの間の情報または他の信号の相互接続または転送（特定の入力／出力装置のためのインタフェース回路Ｇ０６Ｆ３／００，マルチプロセッサシステムＧ０６Ｆ１５／１６）［４］']
[]"
69,70,特願2016-162785,特開2018-030185,"2016/08/23
2018/03/01
-",人とロボットが協働して作業を行うロボットの動作を学習する機械学習器、ロボットシステムおよび機械学習方法,ファナック株式会社,"B25J13/08@Z 
B25J11/00@Z 
G06N99/00,150",2016-08-23,1,8,2016,"G06N
B25J","B25J13/08
B25J11/00
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['センサー手段，例．視覚または触覚装置，によるもの［４］']
['他類に分類されないマニプレータ']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
70,71,特願2016-166073,特開2018-029568,"2016/08/26
2018/03/01
-",萎れ具合予測システム及び萎れ具合予測方法,国立大学法人静岡大学,"A01G7/00,603",2016-08-26,1,8,2016,A01G,A01G7/00,['園芸；野菜，花，稲，果樹，ぶどう，ホップ，または海草の栽培；林業；灌水（果実，野菜，ホップまたは類似のものの摘み取りＡ０１Ｄ４６／００；組織培養による植物生殖Ａ０１Ｈ４／００；玉ねぎまたは花の球根の端部切除または皮むきのための装置Ａ２３Ｎ１５／０８；単細胞藻類培養Ｃ１２Ｎ１／１２；植物細胞培養Ｃ１２Ｎ５／００）'],['植物生態一般（土なし栽培Ａ０１Ｇ３１／００）']
71,72,特願2017-151057,特開2018-027776,"2017/08/03
2018/02/22
-",運転者行動予測モデルの個人適合,トヨタ自動車株式会社,"B60W40/08 
B60K28/02 
B60W40/02 
他",2017-08-03,1,8,2017,"他
B60K
B60W","B60W40/08
B60K28/02
B60W40/02
他","[]
['車両の推進装置または動力伝達装置の配置または取付け；複数の異なった原動力の車両への配置または取付け；車両用の補助駆動装置；車両用計装または計器板；車両の推進装置の冷却，吸気，排気または燃料供給に関する配置［１，８］']
['異なる種類または異なる機能の車両用サブユニットの関連制御；ハイブリッド車両に特に適した制御システム；特定の単一のサブユニットの制御に関するものではない、特定の目的のための道路走行用車両の運動制御システム［８］']","['運転者又は同乗者の状態に関するもの［８，２０１２．０１］']
['運転者に関する状態に応じるもの［４］']
['周囲の環境に関するもの［８］']
[]"
72,73,特願2016-159901,特開2018-027581,"2016/08/17
2018/02/22
-",ピッキングシステム,株式会社安川電機,B25J13/08@A,2016-08-17,1,8,2016,B25J,B25J13/08,['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],['センサー手段，例．視覚または触覚装置，によるもの［４］']
73,74,特願2016-156729,特開2018-025932,"2016/08/09
2018/02/15
-",センサと機械学習部を備えた作業管理システム,ファナック株式会社,"G05B19/418@Z 
G06N99/00,150",2016-08-09,1,8,2016,"G06N
G05B","G05B19/41
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']","['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
74,75,特願2017-121275,特開2018-014092,"2017/06/21
2018/01/25
-",機械部品の期待耐用年数の推定方法,リープヘル－ヴェルク ネンツィング ゲーエムベーハー,"G06Q10/00,300 
B66C13/46@G",2017-06-21,1,6,2017,"G06Q
B66C","G06Q10/00
B66C13/46","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['クレーン；クレーン，キヤプスタン，ウインチまたはタツクル用の荷物係合要素または装置（ロープ，ケーブル，チェーンの巻き取り機構，そのためのブレーキ装置または回転止め装置Ｂ６６Ｄ；特に原子炉に適合せしめたものＧ２１）']","['管理；経営［８，２０１２．０１］']
['吊り下げた荷物またはクレーン要素の位置表示器']"
75,76,特願2016-142552,特開2018-011720,"2016/07/20
2018/01/25
-",ストレス判定装置、ストレス判定方法、及び、ストレス判定プログラム,日本電気株式会社,"A61B5/16 
A61B5/02,710@B 
A61B5/02,711@C 
他",2016-07-20,1,7,2016,"他
A61B","A61B5/16
A61B5/02
A61B5/02
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
['脈拍，心拍，血圧または血流の測定；結合された脈拍／心拍／血圧の測定；他に分類されない心臓血管の状態の評価，例．このグループに分類される技術と心電計との結合を用いるもの；血圧測定用心臓カテーテル［５］']
['脈拍，心拍，血圧または血流の測定；結合された脈拍／心拍／血圧の測定；他に分類されない心臓血管の状態の評価，例．このグループに分類される技術と心電計との結合を用いるもの；血圧測定用心臓カテーテル［５］']
[]"
76,77,特願2017-545429,特許6267838,"2016/11/30
2018/01/24
2018/01/05",コンピュータシステム、エッジデバイス制御方法及びプログラム,株式会社オプティム,"G06N99/00,153 
G06F9/46,465@B 
G06F9/50,150@B",2016-11-30,1,11,2016,"G06F
G06N","G06N99/00
G06F9/46
G06F9/50","['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['マルチプログラミング装置［３］']
['リソースの割り当て，例．中央処理装置［ＣＰＵ］［７］']"
77,78,特願2016-138000,特開2018-007792,"2016/07/12
2018/01/18
-",表情認知診断支援装置,株式会社コンフォートビジョン研究所,"A61B10/00@H 
A61B5/10,300@A 
A61B5/107",2016-07-12,1,7,2016,A61B,"A61B10/00
A61B5/10
A61B5/107",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['他の診断法または診断機器，例．診断ワクチン接種用機器；性の決定；排卵期の決定；咽喉をたたく器具［４，８］']
[]
['身体の寸法を測定するもの，例．身体全体またはその部分の大きさ［５］']"
78,79,特願2016-141855,特開2018-005868,"2016/06/30
2018/01/11
-",フリック入力時の特徴を機械学習させて個人を識別する方法,宇田 隆哉,"G06F3/0488,160 
G06F3/023,310@L 
G06F3/023,460",2016-06-30,1,6,2016,G06F,"G06F3/048
G06F3/023
G06F3/023",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['グラフィカルユーザインタフェース［ＧＵＩ］に基づく相互作用技術［８，２０１３．０１］']
['情報の離散的項目をコード信号に変換するための装置，例．キーボードで発生したコードを英数字コード，オペランドコードまたは命令コードとして解釈するための装置［３，８］']
['情報の離散的項目をコード信号に変換するための装置，例．キーボードで発生したコードを英数字コード，オペランドコードまたは命令コードとして解釈するための装置［３，８］']"
79,80,特願2016-126930,特開2018-001282,"2016/06/27
2018/01/11
-",稼働状況検知方法、稼働状況検知システムおよび稼働状況検知プログラム,安川情報システム株式会社,"B25D17/00 
E02F9/20@N",2016-06-27,1,6,2016,"B25D
E02F","B25D17/00
E02F9/20@","['衝撃工具［２］']
['掘削；土砂の移送（泥炭の採掘Ｅ２１Ｃ４９／００）']","['可搬型動力衝撃工具の細部または付属装置［４］']
[]"
80,81,特願2016-121737,特開2017-225489,"2016/06/20
2017/12/28
-",情報処理装置、情報処理方法及びプログラム,ソニー株式会社,"A61B5/05@C 
A61B5/16",2016-06-20,1,6,2016,A61B,"A61B5/05@
A61B5/16",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"[]
['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']"
81,82,特願2016-177109,特開2017-224264,"2016/09/09
2017/12/21
-",データ処理システム,富士ゼロックス株式会社,"G06F17/30,180@A 
G06F17/30,415",2016-09-09,1,9,2016,G06F,"G06F17/30
G06F17/30",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['情報検索；そのためのデータベース構造［６］']
['情報検索；そのためのデータベース構造［６］']"
82,83,特願2016-118920,特開2017-223544,"2016/06/15
2017/12/21
-",目標識別装置,三菱電機株式会社,"G01S3/782@B 
G06T7/00,350@B",2016-06-15,1,6,2016,"G01S
G06T","G01S3/782
G06T7/00","['無線による方位測定；無線による航行；電波の使用による距離または速度の決定；電波の反射または再輻射を用いる位置測定または存在探知；その他の波を用いる類似の装置']
['イメージデータ処理または発生一般［６，８］']","['方向の決定または所定の方向からの偏差の決定のための方式［５］']
['イメージ分析［２０１７．０１］']"
